label,cleaned_review
1,"Look, as much as how controversial this is, Transgenders automatically diagnose themselves with Autism/ADHD. It's like a repeat of 2017-18 where certain Gacha Life youtubers started having ""Depression"" over something that won't cause you Depression at all."
0,People are flirting with depression in this market condition
2,Who b dz  daft 30BG😡 He need to give us what d street want na him family go buy am? He need to give us street jamz no b depression songs Everytime no b everybody Dey smoke
1,"Shrooms are medicinal,it helps a lot in depression and anxiety,it have much health benefits,I always get my shrooms and other trips from  on telegram , dude got my back real good."
0,"W graphic as usual, Cant wait to see Anceliban ball again and go into depression after 2 weeks 💯"
0,Bugz Babar will put you in depression  After Babar - all team made 30 runs only and 6 overs left
0,"First gives you depression, second gives you anxiety"
1,Una no go tell Ayomaff d truth den fit play him songs for club? Or carnival? Na depression songs he get.. we know wetin we want for naija so make he improve
0,Isn’t it so great to have one good day during the entire fucking month of March but get ripped back down to the pits of depression hell the next morning? I haven’t even gotten a chance to have a breakfast I bought food for bc I was finally confident with eating normally yesterday
0,DEPRESSION TOAST!!!!!
0,Was it a real thing or just one of the #Dundee 'old wives tales' The Regent on the Hilltown allowed you in for the admission price a jam jar during the Great Depression. Keiller's at the time offered a Penny for empty jam jars. Regent on Main Street opened in 1925 and closed 1962
0,Let’s advertise some more to people from far flung corners of the world to turn up. We’ve 70% left of tourism we can destroy to fund and house unknowns. Wait for the depression to come and we’ll have less of everything.
0,"Heal those battling depression, anxiety, and grief. Set the captives free from trauma and generational curses."
1,"this is so true, but it's to be noted that Allah should be one's primary comfort even at the peak of depression or quirkiness, may Allah keep you and all revert steadfast upon haqq akhi ❤️🫶🏾"
0,"""youre no fun!"" mf when the future catch up to them and give them severe depression"
0,shit... idk how to say this but... depression has been cheating on both of us
0,pure depression
1,Prof Tim Spector claims a healthy diet could treat depression  The littlest things truly make for the biggest differences.
2,I voted for the brightest economic future the world has ever seen and got a depression
0,But somehow appropriate that a real estate crook is going to oversee the bursting of the property bubble & ensuing financial depression. It may bring pause for thought?
0,"I no sabi why this Ayo Maff response dey pain me 😂See free PR, instead make you use am well, drop better banger make everywhere stew. See Afro depression king, Barry Jhay, they don’t listen to him like before. Oml and Balloranking gan don change their style. No learn oo. 😂"
0,Depression
1,btw I still suffer from depression daze and heavy on the anxiety but hey cuando no… papo me siento en mi peak lmao aunque sea medio pump fake trauma ain’t healing quickly tho and out of nowhere So I’m learning to be compassionate w myself and my loved ones
0,Male Depression. Bill Burr: Drop Dead Years (2025)  via
1,Remember how we got out of the great depression? Massive government wartime spending followed by a baby boom. Both growth factors. That set the table for a half century of prosperity. Growth is REQUIRED for capitalism to work. Cutting won't address this.
0,Depression no gud
1,"> go solo dolo to bar in Hongdae > its packed > hostess hits me with “group table okay?” > I say “always” > get sat with two Korean girls > both hot > we exchange pleasantries > they say “your vibe is so calm” > it’s just mild depression, but thanks > convo vibing"
0,You know depression hit you deep when you can't even twerk in sadness
1,"We're on it !  Peace through Strength!!  And at the risk of sounding like establishment Dems and Repubs....wars are ""profitable."" How do you think we got out of the Great Depression? Answer: WW2."
1,"Someone with strong Moon is able to process their feelings better, not that there’s no struggle but a strong Moon can deal with emotional hardship better, Saturn is the literal ruler of depression for example, when it’s your Moon placement can be very straining emotionally"
1,"A friend who was always out, on holiday and the life and soul of any party took her own life due to deep depression."
0,"Obesity, diabetes, Rx anxiety/depression drug addiction…. America has been in the midst of a health crisis for ~15 years.  RFK Jr will be the first HHS secretary to even attempt to end it."
0,"In other words, a winning woman must work and have a saving. But also stay up till 2am to warm luwombo. Then you wonder why many wives are suffering with depression!"
0,"SSR faced sabotag€ with most vicious lies written abt him as blind items. But not one of these gossips wrote abt his add!ction or depression even tho ""everyone"" supposedly knew abt latter. Not Suspicious?     Family Didnot See SSR Hanging"
0,"1 in 3 will develop cancer in the UK. COVID disabilities are very real as is clinical depression and clinical anxiety. No one is taking advantage, there is zero pip fraud. You are just disingenuous and you don't do any research before reacting with bias."
0,"Depression, as he’s literally said himself."
0,"COMMON SENSE: I love what Elon Musk is doing with DOGE, knowing that without the cuts his team is making the USA will go bankrupt. That would create a worldwide disaster worse than the Great Depression, but I disagree with him about his statement, ""Humanity is dying."" It isn't."
0,"That bitch nearly killed me with depression,na ma y3 slowww"
2,"My friend who has MS experienced this too. Docs never joined up the dots, diagnosed anxiety and depression, treated her badly cos she self medicated with alcohol. Medical PTSD now makes proper treatment complicated 😥"
0,"PRAYERS FOR THE DEPRESSED AND SUICIDAL DAY 1. Our Heavenly Father, We ask for help for those that struggle with mental health or substance abuse issues. We also ask to comfort those that battle with the feelings of hopelessness, depression and suicidal thoughts. We ask that you"
0,#MommyClubShowmaxS3 Mrs. Sande using depression & anxiety as an excuse for what she said to Nozipho & taking zero accountability for what she said 😒😏 Guess I'm never going to like this lady
1,You too cute to let another person get in your head like that. Now I know depression don’t care how a person look but you can’t let people get to you. If that’s the case I would’ve been gone ✌🏾 a LONGGG time ago But I know God got me 🙏🏾. Just shift your mindset & stay positive❤️‍🔥.
1,Uncut 1930s Size Bust 42 Ladies Dress Chemisette New York Styles 128 Vintage Sewing Pattern Great Depression Plus Volup 5 Pc Skirt Not Copy  via
0,"The Wind and STAYC has done every single music show together, if theres no challenge video I will enter a deep dark depression like never before in humanity"
0,"Twitch uses AI on its viewers, they tried to program me like a simp, I noticed, Pokimane went into depression, I talked about it and I became targeted by poisoning, microwaves and frequencies. It is a graphenized and bacterial fungal infection that affects the nervous system"
1,“Harry Potter the boy who lived” we all lived. Easy
0,"'s ""truth"" likely highlights the mental health toll of pandemic isolation, mirrored by *Cast Away*'s loneliness theme. Research shows a 25% global rise in anxiety and depression, hitting young adults hardest (65% anxiety, 61% depression by 2020). The volleyball"
1,"Those laughing must be suffering from extreme depression. They don’t know what to laugh for. Since they paid they might laugh merely looking at the mike. That lady, I’m sure her parents must be proud of their upbringing."
0,"Health Scanner MagicMirror The gadget uses a camera to analyze the patient's face and then makes a medical verdict: it finds signs of diabetes, high blood pressure, depression, and can even warn of imminent death."
0,Your confusing temporary periods of sadness with depression. They're not the same thing. It's like comparing a cold with lupus.
2,You aren’t intentionally doing it. Maybe they can’t understand what you’re experiencing and maybe you can’t put into words what you’re experiencing. Anxiety isn’t worth something you don’t have to do. Slow down. Put the sanity of your soul before anything else.
1,"Forgive yourself. Forgive yourself for the moments you feel you messed up. Forgive yourself for feeling you need to be a perfect person. Forgive yourself for having anxiety. You are trying your best. You are. Do what is best for you, even if it means making someone upset."
1,"Anxiety indicates insufficient condition, lack of readiness and ability to handle foreseeable challenges well, that changes and adjustments need to be made, action needs to be taken. A person cannot simply drop anxiety, but must act upon the reason for it."
1,"Many people report feeling calmer and more balanced after sessions, making it a complementary option for anxiety management."
2,few will ever understand the intensity of  loneliness  happiness fear love stress passionanxietyand creativity that a founder experiences every single damn day.
1,Would that help with anxiety?
0,"Acupuncture offers relief for pain, stress, anxiety, and sleep issues."
0,weighing myself in complete privacy bc i have performance anxiety x
1,Serves well with anxiety sauce!
1,"Shrooms are medicinal,it helps a lot in depression and anxiety,it have much health benefits,I always get my shrooms and other trips from  on telegram , dude got my back real good."
1,"i am so medicine resistant with my anxiety meds my mom will have to physically hand them to me but i just took them myself, are you guys proud?"
0,"First gives you depression, second gives you anxiety"
0,Since getting the vaccine I have had to be on anxiety medication and I have severe fatigue as well. This has been going on for years now and I can barely get off the couch to play with my kids.
1,I am very proud of myself for getting a bit better with my social anxiety! I am able to speak to people I don't know and I don’t freeze up if someone intimidating talks to me! Im doing better than I used too!
0,Nah  It more of anxiety for me
1,Might delete its giving me anxiety
0,"I've been modeling and painting for over 30 years, and I consider myself rather skilled.  However, I do not go to this level of detail on the eyes of Space Marines. It gives me anxiety just watching others do it. Corax white, then Tesseract glow.  2 coats each.  Done."
1,The best traders nap through the noise and wake up for the signal. Everything else is just cardio for your anxiety.
0,"Heal those battling depression, anxiety, and grief. Set the captives free from trauma and generational curses."
1,"Ok, so you and I are a lot alike. Except you turn your anxiety and argumentative qualities into a career. Well done :) (not being sarcastic)"
0,"Seconds after waking up, I saw you explaining anxiety over the colour of crisp packaging. I thought I was still in my bizarre dream! (Also, now that I’ve had time to think about, I always considered every other brand to be wrong about their uses of green and blue)."
1,"Excellence runs in our blood. This week, we hit two major milestones: Biology degree: completed. 40,000 followers: reached. And this is just the beginning. 2025 is ours.  -Cogito Ergo Sum"
1,watched the studio it was fun but so anxiety inducing my god!
1,"The anxiety from just before the first single is still here for the second, I hope it’s 8min long 😅"
0,my anxiety was on TEN
1,"Did this a few years ago but kids can definitely raise the anxiety in situations. I could picture this happening, luckily it never did"
0,"I nearly bought an etron from Audi in Newbury, they insisted I collect it.  I got range anxiety thinking about where to charge whilst driving it back to Preston.  So I cancelled the order."
1,btw I still suffer from depression daze and heavy on the anxiety but hey cuando no… papo me siento en mi peak lmao aunque sea medio pump fake trauma ain’t healing quickly tho and out of nowhere So I’m learning to be compassionate w myself and my loved ones
0,Anxiety
1,"haring Moments of Impact: JSPC’s School Outreach 🎓✨JSPC student volunteers, under the guidance of our professors, conducted interactive workshops for 8th and 10th grade students, focusing on managing examination anxiety and enhancing academic performance."
0,"Overthinking triggers anxiety and reduces problem-solving skills. Take a break, breathe, and reset. #Therapy #Counseling #Eqindia"
1,Work doesn’t define you. Grades don’t define you. Medication doesn’t define you. Anxiety doesn’t define you. The past doesn’t define you. The future doesn’t define you. Relationships don’t define you. Words don’t define you. Looks don’t define you. How you love defines you.
0,I put a mirror behind me for a job interview. I can see the mirror anxiety now in the interviewer's face. #interviewbit
0,social anxiety fr holding me back... so many people irl would hate me if i ever am able to speak my mind on their behavior
0,"Bruh as someone who’s dark skinned and has been on the receiving end of colorism. I know how much anxiety I used to have whenever something bad happened cos I was scared of getting accused. Why? The representation of dark skinned people in media, in drama or plays in schools"
0,Well that’s it the dream is over the last thing anyone wants is this getting angry.  I can see no other course of action than to change the entire global economy so we don’t trigger its anxiety
0,❓ how do u cope with anxiety?💬 Just keep vibin #tellonym
0,Bhootnii's trailer is a visual feast of fear and anxiety! Don't miss it! #BhootniiTrailer
0,Right? Crowds can be such a vibe killer. It’s like we pay for anxiety and overpriced snacks!
0,"I agree, but it was interesting to hear him acknowledge that anxiety.  That the inner voice of a literary critic would also be extremely self critical sort of makes sense"
1,I regret that it is also Japan's responsibility.🥲And…  I hope that the Taiwanese will be relieved of their anxiety.🫂✨
1,"Welp, I was planning on streaming today for the server launch but the rat inside my brain chewed the wrong wire and now I’m working through anxiety/panic attacks. I promise I will stream soon but my health comes first. ♥️"
0,social anxiety is scared of him
0,"Obesity, diabetes, Rx anxiety/depression drug addiction…. America has been in the midst of a health crisis for ~15 years.  RFK Jr will be the first HHS secretary to even attempt to end it."
0,Most people are trapped in boxes they will never own renting from the Lords Of Lands.  Every week they spend countless hours with anxiety after working 8 to 12hr shifts 5-6 days a week so the wealthy can consume things.  Their cars have 100k+ on them they 🙏🏼 no breakdowns.
0,Bro me too😭Anxiety<<<
0,"ADHD & Autism is like a smooth dance with anxiety, paranoia, and overwhelm. Until the dance turns into a boxing match and they start beating the hell out of us."
1,Another day left with the feeling of anxiety and sadness if my (REPLY’S to some tweets go unnoticed? (🥺) Praying that you are ok with me  (🙏)
0,"""Somebody's Watching Me...""   👀 As an exercise referral trainer, & someone with GAD I understand the challenges of anxiety, especially when it comes to exercise. Read the blog ⬇️ #AnxietyAwareness #MentalHealthMatters #PersonalTraining"
0,Whoah the anxiety level 😮‍💨🤯
1,"In my case, I don't really have any irl friends. 99% of my friends are online (been like that since 2015-16) and I don't really hang out w/ my friend (much harder since I've no car). My off days have been good in the means of self-care, but could honestly be better."
1,Never loose your self respect for someone who don’t care about your feelings and emotions.
1,What do you spend the most on ? ● food  ● Transportation  ● self care
1,"If ANYONE in Mexico is pissed at him for this and says he’s “unprofessional” don’t ever go back and see him. He’s only human & for you not to care about his health a lot of you seem self centered. I hope  feels better soon! You’ve done amazing lately, should be proud♥️"
0,Isn't a part of activism self care though? Cause of the fact that activism is hard work and emotionally taxing? Are we seriously denying that fact????
0,"Everybody just dey tweet men don't take care of their self, wife/girlfriend  wey suppose for the man go dey ask for money up and down, baba don dey hustle no time, and the same small go come say men don't take care of theirs elf, some of them if their men stop giving them money."
1,"So govt subsidies for Musk's businesses alone add up to about $30bn.  I don't hear you complaining about that.  That would be socialism for self proclaimed free market capitalists. Welfare, Medicare, Social Security, Veterans care, unemployment are all forms of Socialism."
1,🌿 Embrace True Health & Inner Joy with Ayurveda & Self-Healing! 🌞✨Why are we more ill in a world brimming with medical breakthroughs? 🤔 Modern medicine often hides symptoms rather than cures them. Learn to heal from within at our Disease Relief - Self Care Workshop:✅
0,A part of activism is self care cause if we're burnt out all the time we'll never get shit done. Chappell has done activism while doing her JOB and being attacked online and dealing with her bipolar disorder. I can imagine it IS hard. She's not saying she shouldn't have to care
1,"🌿 Self-care isn't selfish—it's necessary. Take time to nourish your mind, body, and soul. Small acts of kindness towards yourself create a ripple effect of positivity. ✨ #SelfCareSaturday #MentalHealthMatters"
1,It's still not good😭 take care of yo self
1,"To be bearish is to admit to being an extractive trader who cares purely about self enrichment. The parasites would be trading Pokémon cards or watches if the liquidity was there.  They don’t care about flipping tradfi, their interest extends as far as their profit off others."
1,"Self-Care Saturday prompts for this week. Enjoy! Contemplation, Wellness, Healing, Timeless Prompts  via"
0,Everyone of them should be arrested 15 days in jail and $1500 fine.  That will be stop this nonsense.  They don’t have the right to block traffic and prevent other people from living their life.   These are self absorbed people who don’t care about U !
1,"In the stillness of mindful self-care, we find clarity.   Embrace balance and let personal transformation flow.   Prioritise your wellbeing today. #MindfulLiving #SelfCare #Wellbeing."
